,FoM,CMA iteration,charge (#1),epsilon (#2),sigma (#3),epsilon (#8),sigma (#9),charge (#4),epsilon (#5),sigma (#6)
0,45.657566652417565,1,-0.4,15.0,1.35,6.0,3.6,0.5,18.0,2.35
1,18.66089954434591,1,-0.8183215393468396,11.148748424555064,2.342000051636033,18.206583704960284,2.0698260182377775,0.8419206962048168,20.189712135397343,1.8272114044357322
2,15.183780132107257,1,-0.5728698522936313,25.29298390013287,1.5004079673225257,5.408610750635724,3.453395864852666,0.12977822481924034,21.706798634682855,2.923655590249248
3,7.235887374221134,1,-0.5713770419476352,11.36221316872772,1.2377112685475884,4.164971162739915,3.443873682719642,0.011976320645604333,29.276269578611277,2.3218680202595636
4,12.456204750914011,1,-0.13075289797980102,15.409662810543836,1.6338086130201193,3.2640916374028635,3.9539669896159233,0.6286041375532698,7.49420701627268,2.4806709004083265
5,38.758915427433365,1,-0.5793000914825269,18.33041862451796,2.796749459630371,7.542617310708257,3.982322835721805,0.4112157744874909,16.832427758906945,3.7527065591364877
6,40.097454860370725,1,-0.3131487512043709,16.295097575076927,1.4209748519343797,3.81992648996754,3.1623664604726724,0.18294552466620434,18.253027107239493,3.912014264618285
7,10.77074161544773,1,-0.8053520506165581,11.569541709598067,1.2673071096725397,12.366102548928865,3.0431262047133933,-0.13043729642290192,17.392241428699446,2.568338521721076
8,11.84837885421297,1,-0.6625796828548659,19.58597670656497,1.5877834742629577,5.888197889047071,2.55838276864047,0.3292632644438702,23.297906151382506,2.9950821526814373
9,85.01301852854813,1,-0.28653289035859586,6.458014815797547,1.8896553721684801,11.54049144380862,3.886547666690725,0.17412471068792384,15.114272215596358,3.218558452886855
10,68.46522159257022,1,-0.31003440870756516,18.475352685412517,1.7699775283986172,5.652576736265702,3.940946246019207,0.5276618885429863,29.861715249714127,2.0489974221002294
11,8.94615943855289,1,-0.39631539480486244,23.92887952298966,1.0248670527901116,8.79659951887011,3.6756019054785383,-0.19582636827800576,11.998950463350903,1.561594617339475
12,8.774663435320905,1,-0.2881343984397903,20.773600011095738,1.121789628566421,3.940306160534967,3.233421966596124,0.6011095586195772,15.440100802379092,2.5483861470654423
13,7.019241465707321,1,-0.15022185044449493,4.261989935596471,1.2645542844007411,7.9199799953894825,1.8400779163590517,0.17812327372804881,11.14328248175492,2.721522213951833
14,64.60083764167113,1,-0.8368648482914063,22.207034446089565,1.8906223606031467,12.040316750682502,3.9854036421955437,0.6867610316023558,14.898125259921734,1.1439310294113045
15,39.58903358614448,1,-0.4835987331445342,14.04073066694732,3.4585175809483073,7.4963075953664555,3.9992639184698624,-0.19830835246367623,20.473367837266444,2.852414777492789
