#    title "G(r)"
#    xaxis  label "Distance (nm)"
#    yaxis  label "Probability"
  0.100000  0.000266
  0.300000  0.002060
  0.500000  0.005156
  0.700000  0.009505
  0.900000  0.014535
  1.100000  0.020162
  1.300000  0.026063
  1.500000  0.032008
  1.700000  0.037824
  1.900000  0.043316
  2.100000  0.048312
  2.300000  0.052679
  2.500000  0.056311
  2.700000  0.059072
  2.900000  0.060908
  3.100000  0.061743
  3.300000  0.061540
  3.500000  0.060254
  3.700000  0.057886
  3.900000  0.054406
  4.100000  0.049841
  4.300000  0.044216
  4.500000  0.037549
  4.700000  0.030061
  4.900000  0.022973
  5.100000  0.017086
  5.300000  0.012318
  5.500000  0.008559
  5.700000  0.005665
  5.900000  0.003536
  6.100000  0.002064
  6.300000  0.001116
  6.500000  0.000559
  6.700000  0.000267
  6.900000  0.000117
  7.100000  0.000046
  7.300000  0.000015
  7.500000  0.000004
  7.700000  0.000001
  7.900000  0.000000
  8.100000  0.000000
