#   Time, ps   E_tot           T, K       Box-X
   12.700000  -266.535400  118.284317    5.438304
   12.800000  -253.692383  118.916374    5.438298
   12.900000  -247.513672  119.533104    5.438297
   13.000000  -253.721191  119.791634    5.438293
   13.100000  -259.325195  119.204620    5.438285
   13.200000  -251.525513  118.086746    5.438282
   13.300000  -265.365967  116.148819    5.438284
   13.400000  -258.260010  116.634544    5.438284
   13.500000  -278.612793  116.682915    5.438276
   13.600000  -262.498657  117.096642    5.438256
   13.700000  -224.735596  120.159569    5.438243
   13.800000  -244.300171  118.286217    5.438230
   13.900000  -223.862427  119.426704    5.438225
   14.000000  -210.327515  119.592178    5.438229
   14.100000  -171.634277  123.089775    5.438239
   14.200000  -187.396118  122.700485    5.438250
   14.300000  -169.835815  125.830879    5.438254
   14.400000  -169.357422  126.401978    5.438251
   14.500000  -175.971802  125.492645    5.438250
   14.600000  -192.382080  124.263054    5.438251
   14.700000  -203.927246  122.920715    5.438258
   14.800000  -183.110962  125.017723    5.438265
   14.900000  -217.307617  122.991013    5.438271
   15.000000  -179.223755  126.499260    5.438269
   15.100000  -196.343384  125.231697    5.438269
   15.200000  -143.219360  127.740852    5.438272
   15.300000  -196.896362  123.601349    5.438290
   15.400000  -182.426880  125.005119    5.438297
   15.500000  -232.816284  119.962502    5.438307
   15.600000  -251.886597  120.190262    5.438307
   15.700000  -196.176758  124.121208    5.438300
   15.800000  -202.293945  122.595207    5.438294
   15.900000  -211.265259  120.971458    5.438295
   16.000000  -228.126587  120.645676    5.438291
   16.100000  -224.935425  118.528351    5.438294
   16.200000  -224.024048  119.859581    5.438300
   16.300000  -197.652832  122.370201    5.438298
   16.400000  -184.440552  124.786453    5.438289
   16.500000  -174.035645  125.230827    5.438279
   16.600000  -199.542114  121.348305    5.438280
   16.700000  -219.918457  119.662109    5.438291
   16.800000  -222.761719  120.925903    5.438297
   16.900000  -236.818726  120.929604    5.438296
   17.000000  -249.482300  119.529526    5.438296
   17.100000  -265.054932  118.715881    5.438302
   17.200000  -272.655884  119.424271    5.438298
   17.300000  -299.254150  115.618721    5.438293
   17.400000  -334.589966  113.893372    5.438285
   17.500000  -312.047852  115.548546    5.438271
   17.600000  -307.966064  116.633766    5.438255
   17.700000  -321.598755  114.415596    5.438238
   17.800000  -328.007080  113.478653    5.438228
   17.900000  -301.591187  115.277702    5.438221
   18.000000  -295.965698  116.458862    5.438210
   18.100000  -323.510864  113.837212    5.438193
   18.200000  -300.709473  115.390305    5.438177
   18.300000  -306.905762  113.007729    5.438159
   18.400000  -272.098022  115.120659    5.438148
   18.500000  -278.945801  116.093956    5.438133
   18.600000  -308.820557  113.248360    5.438109
   18.700000  -262.913574  115.681007    5.438088
   18.800000  -209.511719  119.333817    5.438081
   18.900000  -235.660522  117.571991    5.438078
   19.000000  -267.779053  115.761620    5.438073
   19.100000  -278.086426  114.619476    5.438066
   19.200000  -241.135376  117.827011    5.438059
   19.300000  -240.216431  117.712616    5.438051
   19.400000  -210.021973  120.060913    5.438040
   19.500000  -166.941040  122.005707    5.438038
   19.600000  -174.981323  123.164856    5.438034
   19.700000  -214.553223  119.221512    5.438024
   19.800000  -227.180176  118.944588    5.438015
   19.900000  -190.954102  123.609535    5.437999
   20.000000  -227.818481  116.885384    5.437987
   20.100000  -226.133057  117.879128    5.437987
   20.200000  -244.221680  115.933350    5.437985
   20.300000  -217.104248  120.191193    5.437978
   20.400000  -229.700562  118.857986    5.437963
   20.500000  -200.709229  121.845421    5.437953
   20.600000  -260.638184  117.107208    5.437940
   20.700000  -273.310669  113.393761    5.437934
   20.800000  -259.174927  115.148888    5.437942
   20.900000  -234.968262  117.602104    5.437945
   21.000000  -265.298706  116.174995    5.437943
   21.100000  -272.708252  116.758453    5.437929
   21.200000  -242.344360  118.140602    5.437908
   21.300000  -236.337158  118.086906    5.437893
   21.400000  -228.904297  119.231682    5.437878
   21.500000  -257.589111  116.398262    5.437861
   21.600000  -290.227661  114.589577    5.437845
   21.700000  -274.468994  113.945526    5.437831
   21.800000  -311.117676  112.555099    5.437822
   21.900000  -297.082520  114.766426    5.437804
   22.000000  -279.079590  116.811714    5.437780
   22.100000  -278.624146  116.129120    5.437760
   22.200000  -312.459961  114.110649    5.437750
   22.300000  -333.027954  111.606796    5.437741
