#   Time, ps   E_tot           T, K       Box-X
    0.000000  4884152.000000    0.000062    1.800000
    0.100000  -499.785522   21.505535    4.892944
    0.200000  -327.662964   41.589859    4.892813
    0.300000  -206.303162   57.957119    4.892691
    0.400000  -94.083435   76.601837    4.892579
    0.500000  -27.806030   91.441116    4.892484
    0.600000    6.251404   95.019775    4.892432
    0.700000   44.022949   92.479759    4.892476
    0.800000  121.666626  100.354088    4.892626
    0.900000  165.319336  117.812935    4.892791
    1.000000  156.910034  125.347656    4.892903
    1.100000  145.954529  126.587715    4.892974
    1.200000  119.230713  119.517899    4.893034
    1.300000  102.927002  116.119774    4.893111
    1.400000   84.422607  115.743279    4.893186
    1.500000   99.583008  119.963440    4.893249
    1.600000  113.918335  126.545891    4.893291
    1.700000  153.566772  129.137161    4.893323
    1.800000   98.875000  121.823563    4.893381
    1.900000  105.971069  124.493790    4.893456
    2.000000   58.949707  124.221596    4.893525
    2.100000   42.087402  123.407379    4.893592
    2.200000   40.256836  128.419144    4.893650
    2.300000   34.514038  128.886932    4.893700
    2.400000    7.338989  128.606369    4.893745
    2.500000    3.290283  127.834579    4.893792
    2.600000   23.610474  134.445786    4.893835
    2.700000  -33.829102  127.431488    4.893871
    2.800000  -67.812012  125.593575    4.893909
    2.900000  -64.661011  126.164436    4.893947
    3.000000  -101.097778  120.767212    4.893991
    3.100000  -82.451050  125.040222    4.894038
    3.200000  -64.031738  129.664062    4.894084
    3.300000  -130.947998  126.028633    4.894117
    3.400000  -143.530029  122.538231    4.894144
    3.500000  -151.342041  121.748070    4.894182
    3.600000  -176.770020  123.255592    4.894217
    3.700000  -186.835938  121.053383    4.894243
    3.800000  -212.692627  121.284500    4.894263
    3.900000  -206.337280  122.502586    4.894275
    4.000000  -183.764771  123.045456    4.894293
    4.100000  -147.122070  126.687790    4.894321
    4.200000  -156.407227  125.087608    4.894348
    4.300000  -195.118774  122.471497    4.894369
    4.400000  -208.709839  119.660614    4.894382
    4.500000  -179.059570  122.533508    4.894398
    4.600000  -191.326172  120.753365    4.894414
    4.700000  -181.301880  126.173065    4.894420
    4.800000  -194.521362  121.764206    4.894415
    4.900000  -205.204956  121.988785    4.894419
    5.000000  -199.170288  122.439621    4.894417
    5.100000  -169.352417  125.582787    4.894423
    5.200000  -173.485107  124.147034    4.894431
    5.300000  -212.320801  121.216133    4.894443
    5.400000  -211.847290  120.156548    4.894451
    5.500000  -219.234741  121.698586    4.894459
    5.600000  -228.579956  118.755264    4.894463
    5.700000  -254.052002  114.879730    4.894476
    5.800000  -263.475342  115.855431    4.894485
    5.900000  -267.022217  115.892914    4.894486
    6.000000  -237.988770  120.761864    4.894482
    6.100000  -211.710327  122.766098    4.894474
    6.200000  -208.334595  121.295891    4.894481
    6.300000  -233.725708  120.087151    4.894493
    6.400000  -249.411011  118.461685    4.894500
    6.500000  -214.263672  122.456573    4.894507
    6.600000  -219.209595  122.569267    4.894510
    6.700000  -233.512573  118.581146    4.894515
    6.800000  -256.642456  116.326218    4.894523
    6.900000  -272.704590  115.077415    4.894525
    7.000000  -285.273193  114.017799    4.894521
    7.100000  -272.064087  115.881973    4.894520
    7.200000  -237.646118  120.635361    4.894514
    7.300000  -226.503784  121.163361    4.894511
    7.400000  -221.223633  120.432037    4.894517
    7.500000  -233.352051  121.882881    4.894522
    7.600000  -249.255981  116.837914    4.894521
    7.700000  -227.418701  119.084259    4.894529
    7.800000  -221.785034  121.156624    4.894528
    7.900000  -220.921997  120.937042    4.894521
    8.000000  -245.860229  117.231117    4.894516
    8.100000  -221.924194  118.434608    4.894515
    8.200000  -233.614258  120.267197    4.894516
    8.300000  -228.266235  120.380424    4.894507
    8.400000  -226.849976  116.987106    4.894508
    8.500000  -220.146118  121.028503    4.894515
    8.600000  -210.922607  120.319740    4.894512
    8.700000  -220.396240  118.607941    4.894514
    8.800000  -245.970581  115.630089    4.894515
    8.900000  -279.302124  112.600685    4.894510
    9.000000  -232.942505  115.556183    4.894507
    9.100000  -217.546143  118.347084    4.894510
    9.200000  -214.386475  120.108932    4.894503
    9.300000  -221.704102  117.973427    4.894499
    9.400000  -238.368530  116.231941    4.894501
    9.500000  -258.442261  115.260773    4.894502
    9.600000  -269.935547  114.040886    4.894496
    9.700000  -276.010498  112.980865    4.894491
    9.800000  -270.809937  113.028847    4.894488
    9.900000  -303.173340  110.415710    4.894481
   10.000000  -297.895691  110.422493    4.894468
   10.100000  -289.728088  110.245316    4.894462
   10.200000  -257.744385  113.681694    4.894458
   10.300000  -237.952393  116.982910    4.894454
   10.400000  -211.312256  119.860306    4.894445
   10.500000  -196.030884  119.392754    4.894441
   10.600000  -191.231079  119.888382    4.894446
   10.700000  -180.241089  121.630119    4.894447
   10.800000  -212.566284  117.589401    4.894451
   10.900000  -202.689697  120.996407    4.894446
   11.000000  -227.873047  116.417168    4.894435
   11.100000  -233.292114  116.661957    4.894423
   11.200000  -246.568115  114.700874    4.894409
   11.300000  -218.970703  116.740852    4.894396
   11.400000  -213.637573  116.193329    4.894390
   11.500000  -199.579102  117.460899    4.894385
   11.600000  -167.729492  120.058380    4.894383
   11.700000  -146.121338  123.573830    4.894381
   11.800000  -130.268311  125.805405    4.894370
   11.900000  -159.665894  121.394859    4.894357
   12.000000  -153.532104  119.166191    4.894356
   12.100000  -131.565674  124.677216    4.894354
   12.200000  -143.561890  123.231682    4.894344
   12.300000  -185.925049  116.188217    4.894344
   12.400000  -177.114014  117.526833    4.894354
   12.500000  -186.354614  120.089798    4.894355
   12.600000  -168.726929  121.417152    4.894345
   12.700000  -167.541016  117.872337    4.894349
   12.800000  -154.247070  120.966530    4.894362
   12.900000  -135.213257  124.994331    4.894366
   13.000000  -144.216919  123.731415    4.894364
   13.100000  -136.455811  123.873398    4.894368
   13.200000  -118.833862  127.629509    4.894368
   13.300000  -138.502319  125.228226    4.894366
   13.400000  -128.413818  127.794014    4.894361
   13.500000  -157.388428  122.987610    4.894358
   13.600000  -189.175537  119.155090    4.894360
   13.700000  -196.344360  118.396721    4.894362
   13.800000  -220.347900  116.323311    4.894361
   13.900000  -194.946167  119.397911    4.894356
   14.000000  -157.567871  124.135086    4.894347
   14.100000  -122.121216  127.145088    4.894341
   14.200000  -132.935669  124.553642    4.894338
   14.300000  -129.417725  122.948814    4.894346
   14.400000  -154.295166  123.824394    4.894352
   14.500000  -129.015259  125.840576    4.894348
   14.600000  -167.490723  120.321243    4.894351
   14.700000  -149.980103  123.890564    4.894353
   14.800000  -162.304565  122.445068    4.894351
   14.900000  -120.615356  128.672318    4.894345
   15.000000  -124.098389  125.036613    4.894347
   15.100000  -134.649414  126.329269    4.894357
   15.200000  -146.972290  124.001648    4.894360
   15.300000  -163.606079  123.634804    4.894361
   15.400000  -165.371094  122.980530    4.894359
   15.500000  -183.447266  120.505692    4.894360
   15.600000  -188.315430  119.801552    4.894366
   15.700000  -171.588013  123.552658    4.894369
   15.800000  -151.696045  124.027542    4.894368
   15.900000  -141.450928  126.012650    4.894374
   16.000000  -154.880371  121.964027    4.894378
   16.100000  -173.436890  119.843796    4.894383
   16.200000  -195.908203  118.553566    4.894375
   16.300000  -200.803711  117.730949    4.894354
   16.400000  -212.065430  116.305138    4.894333
   16.500000  -161.070557  119.336876    4.894320
   16.600000  -161.051514  119.996811    4.894316
   16.700000  -143.963013  120.924507    4.894313
   16.800000  -123.715454  123.117172    4.894312
   16.900000  -128.638794  123.868591    4.894306
   17.000000  -129.642212  121.026955    4.894305
   17.100000  -138.312866  120.644089    4.894305
