#   Time, ps   E_tot           T, K       Box-X
    0.000000  3430294.750000    0.000080    1.600000
    0.100000  -354.445831   20.932123    4.349362
    0.200000  -235.370667   40.495495    4.349245
    0.300000  -140.337708   57.788689    4.349136
    0.400000  -90.318115   70.403336    4.349035
    0.500000  -30.379883   86.430511    4.348944
    0.600000   -2.052307   91.301277    4.348880
    0.700000    8.133301   94.064110    4.348877
    0.800000   58.111938  105.892014    4.348920
    0.900000   80.513794  112.137428    4.349008
    1.000000   84.906616  115.270760    4.349117
    1.100000   96.057312  118.626083    4.349236
    1.200000   85.209839  120.273735    4.349350
    1.300000   74.876221  123.699554    4.349440
    1.400000   64.672913  122.325020    4.349519
    1.500000   71.694336  125.637146    4.349598
    1.600000   93.003357  130.800171    4.349664
    1.700000   73.675964  127.546844    4.349732
    1.800000   70.497925  132.885864    4.349792
    1.900000   87.919800  137.639801    4.349844
    2.000000   76.606812  136.295975    4.349895
    2.100000   48.163513  135.481796    4.349949
    2.200000   45.006165  135.528915    4.350010
    2.300000   20.665833  135.758133    4.350074
    2.400000    8.910400  136.092758    4.350140
    2.500000  -35.874023  132.531403    4.350205
    2.600000  -40.855408  134.798950    4.350263
    2.700000  -82.548462  127.141708    4.350324
    2.800000  -88.003235  131.664505    4.350387
    2.900000  -114.299622  125.801476    4.350447
    3.000000  -153.716125  120.290924    4.350507
    3.100000  -135.079956  126.602692    4.350552
    3.200000  -147.532837  126.546700    4.350587
    3.300000  -151.945190  124.412827    4.350625
    3.400000  -132.370483  125.689888    4.350666
    3.500000  -160.514282  121.650566    4.350713
    3.600000  -192.160950  121.108215    4.350739
    3.700000  -179.755188  127.780472    4.350735
    3.800000  -190.163696  123.157578    4.350723
    3.900000  -189.766052  119.727951    4.350725
    4.000000  -177.859497  123.009659    4.350736
    4.100000  -205.994568  120.651215    4.350734
    4.200000  -200.266174  118.557869    4.350732
    4.300000  -200.302124  118.596275    4.350739
    4.400000  -179.305969  122.340439    4.350748
    4.500000  -204.688232  116.725487    4.350757
    4.600000  -205.022705  118.525444    4.350770
    4.700000  -188.490112  120.494873    4.350776
    4.800000  -187.290161  121.660538    4.350780
    4.900000  -185.279358  118.895271    4.350786
    5.000000  -192.980469  119.851250    4.350800
    5.100000  -217.305786  116.611176    4.350803
    5.200000  -219.503052  117.292755    4.350802
    5.300000  -189.914795  124.196732    4.350794
    5.400000  -195.277954  122.828316    4.350780
    5.500000  -195.296021  120.673058    4.350777
    5.600000  -213.985657  119.301849    4.350778
    5.700000  -207.862732  119.966148    4.350773
    5.800000  -180.897705  120.362617    4.350781
    5.900000  -161.890564  126.852325    4.350789
    6.000000  -177.783325  121.885689    4.350786
    6.100000  -176.796021  120.049416    4.350791
    6.200000  -175.709412  124.306259    4.350791
    6.300000  -216.532532  119.499245    4.350770
    6.400000  -227.450928  113.195755    4.350751
    6.500000  -236.276733  112.033760    4.350744
    6.600000  -220.584778  114.412537    4.350740
    6.700000  -208.441833  117.377022    4.350738
    6.800000  -224.580933  115.464371    4.350734
    6.900000  -217.648926  114.990211    4.350733
    7.000000  -234.185974  111.406746    4.350738
    7.100000  -246.459839  109.676819    4.350745
    7.200000  -228.521118  113.895126    4.350746
    7.300000  -191.885437  121.437263    4.350739
    7.400000  -214.394775  115.856079    4.350729
    7.500000  -241.809998  110.549973    4.350726
    7.600000  -244.140503  112.999565    4.350716
    7.700000  -218.232056  115.043381    4.350699
    7.800000  -228.107117  113.491241    4.350686
    7.900000  -247.694275  111.916557    4.350660
    8.000000  -251.054504  110.788383    4.350628
    8.100000  -258.387939  108.248726    4.350600
    8.200000  -262.379456  107.583199    4.350577
    8.300000  -269.438965  104.586861    4.350563
    8.400000  -262.264404  104.699463    4.350557
    8.500000  -241.140198  109.540604    4.350554
    8.600000  -223.327209  114.671379    4.350540
    8.700000  -209.071411  114.448975    4.350523
    8.800000  -225.753479  108.452599    4.350520
    8.900000  -200.138245  113.638039    4.350522
    9.000000  -198.354858  115.278450    4.350518
    9.100000  -180.462280  116.738663    4.350514
    9.200000  -206.591309  114.704468    4.350505
    9.300000  -177.325134  116.801163    4.350496
    9.400000  -154.307251  117.576340    4.350500
    9.500000  -133.628784  122.391182    4.350512
    9.600000  -118.311157  125.358414    4.350512
    9.700000  -110.166321  124.143333    4.350518
    9.800000  -112.713135  125.529587    4.350523
    9.900000  -124.625610  125.788826    4.350517
   10.000000  -126.984375  124.320015    4.350502
   10.100000  -131.326416  122.052010    4.350499
   10.200000  -147.907837  120.698654    4.350502
   10.300000  -138.446289  123.072624    4.350503
   10.400000  -165.680786  118.618538    4.350506
   10.500000  -142.933289  122.514656    4.350510
   10.600000  -162.021484  121.854218    4.350509
   10.700000  -147.003723  122.016899    4.350504
   10.800000  -157.301086  119.886070    4.350507
   10.900000  -136.356079  122.479996    4.350503
   11.000000  -161.002197  118.466209    4.350501
   11.100000  -157.078979  119.083366    4.350494
   11.200000  -166.370544  115.881653    4.350489
   11.300000  -167.733765  115.980064    4.350483
   11.400000  -145.004517  120.587410    4.350472
   11.500000  -174.487488  116.363503    4.350453
   11.600000  -178.358398  116.409920    4.350430
   11.700000  -186.986206  112.004036    4.350415
   11.800000  -166.283813  115.826462    4.350411
   11.900000  -163.529358  117.373886    4.350406
   12.000000  -119.330994  122.470268    4.350406
   12.100000  -120.345154  123.525192    4.350406
   12.200000  -117.193420  124.536171    4.350402
   12.300000  -138.205872  117.776718    4.350403
   12.400000  -152.124390  116.012299    4.350408
   12.500000  -125.503052  120.362350    4.350410
   12.600000  -143.987610  116.714622    4.350414
   12.700000  -156.746216  114.944756    4.350410
   12.800000  -161.527893  114.486412    4.350401
   12.900000  -161.038696  114.917290    4.350389
   13.000000  -165.330383  114.308464    4.350379
   13.100000  -123.594971  118.864967    4.350374
   13.200000  -128.035583  119.363144    4.350370
   13.300000  -131.457764  119.796761    4.350358
   13.400000  -155.019409  114.984688    4.350339
   13.500000  -137.484192  115.325325    4.350333
   13.600000  -116.409363  119.519714    4.350333
   13.700000  -119.641418  118.618408    4.350341
   13.800000  -151.706299  114.831345    4.350344
   13.900000  -140.649414  117.176720    4.350339
   14.000000  -116.323425  120.147057    4.350337
   14.100000  -97.457825  123.570839    4.350331
   14.200000  -73.190918  124.246300    4.350331
   14.300000  -61.482361  126.499687    4.350340
   14.400000  -71.504700  127.026070    4.350338
   14.500000  -105.792908  121.237129    4.350327
   14.600000  -104.698425  122.102364    4.350314
   14.700000  -93.007629  122.983101    4.350305
   14.800000  -112.317993  120.801842    4.350294
   14.900000  -82.127930  125.952286    4.350284
   15.000000  -99.562744  122.091835    4.350277
   15.100000  -98.137695  123.125099    4.350277
   15.200000  -97.142700  121.535660    4.350280
