# Dist, nm   G(r)
  0.100000  0.000000
  0.300000  0.001647
  0.500000  0.005517
  0.700000  0.008934
  0.900000  0.013531
  1.100000  0.018687
  1.300000  0.024059
  1.500000  0.029581
  1.700000  0.034950
  1.900000  0.040123
  2.100000  0.044912
  2.300000  0.049218
  2.500000  0.052917
  2.700000  0.055892
  2.900000  0.058096
  3.100000  0.059464
  3.300000  0.059924
  3.500000  0.059429
  3.700000  0.058002
  3.900000  0.055479
  4.100000  0.051962
  4.300000  0.047314
  4.500000  0.041596
  4.700000  0.034705
  4.900000  0.027282
  5.100000  0.020797
  5.300000  0.015423
  5.500000  0.011091
  5.700000  0.007660
  5.900000  0.005033
  6.100000  0.003122
  6.300000  0.001805
  6.500000  0.000968
  6.700000  0.000487
  6.900000  0.000234
  7.100000  0.000104
  7.300000  0.000040
  7.500000  0.000013
  7.700000  0.000003
  7.900000  0.000001
  8.100000  0.000000
  8.300000  0.000000
