# Dist, nm   G(r)
  0.100000  0.000000
  0.300000  0.001219
  0.500000  0.004108
  0.700000  0.006742
  0.900000  0.010286
  1.100000  0.014341
  1.300000  0.018619
  1.500000  0.023110
  1.700000  0.027607
  1.900000  0.032029
  2.100000  0.036251
  2.300000  0.040185
  2.500000  0.043752
  2.700000  0.046900
  2.900000  0.049540
  3.100000  0.051654
  3.300000  0.053132
  3.500000  0.053950
  3.700000  0.054093
  3.900000  0.053490
  4.100000  0.052184
  4.300000  0.050118
  4.500000  0.047296
  4.700000  0.043712
  4.900000  0.039383
  5.100000  0.034240
  5.300000  0.028386
  5.500000  0.022586
  5.700000  0.017620
  5.900000  0.013440
  6.100000  0.009991
  6.300000  0.007194
  6.500000  0.004980
  6.700000  0.003283
  6.900000  0.002050
  7.100000  0.001203
  7.300000  0.000663
  7.500000  0.000350
  7.700000  0.000176
  7.900000  0.000085
  8.100000  0.000036
  8.300000  0.000013
  8.500000  0.000004
  8.700000  0.000001
  8.900000  0.000000
  9.100000  0.000000
  9.300000  0.000000
