# Dist, nm   G(r)
  0.100000  0.000000
  0.300000  0.003388
  0.500000  0.011302
  0.700000  0.018058
  0.900000  0.026841
  1.100000  0.036238
  1.300000  0.045480
  1.500000  0.054342
  1.700000  0.062249
  1.900000  0.068858
  2.100000  0.073813
  2.300000  0.076940
  2.500000  0.077916
  2.700000  0.076720
  2.900000  0.073512
  3.100000  0.068027
  3.300000  0.060652
  3.500000  0.051048
  3.700000  0.039514
  3.900000  0.028210
  4.100000  0.019256
  4.300000  0.012486
  4.500000  0.007525
  4.700000  0.004161
  4.900000  0.002064
  5.100000  0.000894
  5.300000  0.000342
  5.500000  0.000120
  5.700000  0.000035
  5.900000  0.000007
  6.100000  0.000001
  6.300000  0.000000
  6.500000  0.000000
